"","meansReal","means","varsReal","vars","asmsReal","asms","excsReal","excs"
"G",0.640332256909482,1.88373867932996,0.142814997054233,0.35542869877411,-0.596028551852354,0.478069480771901,-1.29477217813216,0.133389753239832
"N",0.48069643020812,2.31551091492194,0.165445118275218,0.0918393367292663,0.0701878180934444,-0.0100929571610628,-1.72443444383002,-0.048480234942891
"NB",2.75245521612138e-20,127.153,2.2098810347116e-39,599.190781781782,2.08520531547468,0.291460077013184,2.5346496517362,0.0138651671837597
